,id,title,overview,release_date,vote_average,vote_count,genre
576,9502,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",6/4/2008,7.3,11696,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']"
577,72808,The Flesh,"A beautiful film which is basically about a man, a piano player, who meets and falls in love with a beautiful and voluptuous woman, who, by some strange procedure, leaves the man unable to move but with a permanent priapism! After some time he becomes sick of it and she relieves his paralysis. Eventually she gets bored and decides to leave, but he can't take it because he loves her…",5/9/1991,5.59,50,"['Drama', 'Romance']"
578,20352,Despicable Me,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care.",7/8/2010,7.245,15162,"['Animation', 'Family', 'Comedy']"
579,615,The Passion of the Christ,A graphic portrayal of the last twelve hours of Jesus of Nazareth's life.,2/25/2004,7.5,4625,['Drama']
580,254128,San Andreas,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter.",5/27/2015,6.244,8576,"['Action', 'Drama', 'Thriller']"
581,1145758,Birder,"Kristian Brooks, a birdwatcher, invades a nude campground in New Hampshire, ensnaring locals with his dark fetish, highlighting the dangers of consent.",8/11/2023,3.2,4,"['Thriller', 'Drama']"
582,91314,Transformers: Age of Extinction,"As humanity picks up the pieces after the battle of Chicago, a shadowy group reveals itself in an attempt to control the direction of history…while an ancient, powerful new menace sets Earth in its crosshairs. With help from Cade Yeager, Optimus Prime and the Autobots rise to meet their most fearsome challenge yet.",6/25/2014,5.942,8201,"['Science Fiction', 'Action', 'Adventure']"
583,439079,The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,9/5/2018,5.892,6696,['Horror']
584,1495,Kingdom of Heaven,"After his wife dies, a blacksmith named Balian is thrust into royalty, political intrigue and bloody holy wars during the Crusades.",5/3/2005,7,4328,"['Drama', 'Action', 'Adventure', 'History', 'War']"
585,49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",7/17/2012,7.8,22878,"['Action', 'Crime', 'Drama', 'Thriller']"
